node_time,modem_time,cv7_time,navigator_time,gps_time,nav_state_time
1750109961.897054,,1750046604.8965282,1750045507.971782,,
1750109961.899621,,1750046604.8965282,1750045507.971782,,
1750109961.9086978,,1750046604.8965282,1750045507.9848392,,
1750109961.9206214,,1750046604.8965282,1750045507.9975305,,
1750109961.9337142,,1750046604.8965282,1750045508.010221,,
1750109961.946893,,1750046604.8965282,1750045508.0229263,,
1750109961.9588685,,1750046604.8965282,1750045508.0355916,,
1750109961.9722497,,1750046604.8965282,1750045508.0483036,,
1750109961.9841719,,1750046604.8965282,1750045508.0609374,,
1750109961.9976082,,1750046604.8965282,1750045508.0737014,,
1750109962.0100656,,1750046604.8965282,1750045508.0863743,,
1750109962.0222344,,1750046604.8965282,1750045508.0990863,,
1750109962.0365593,,1750046604.8965282,1750045508.1117647,,
1750109962.047963,,1750046604.8965282,1750045508.1244996,,
1750109962.0613608,,1750046605.0599656,1750045508.1372042,,
1750109962.0643349,,1750046605.0599656,1750045508.1372042,,
1750109962.073614,,1750046605.072691,1750045508.1499598,,
1750109962.0768096,,1750046605.072691,1750045508.1499598,,
1750109962.086273,,1750046605.0853505,1750045508.162646,,
1750109962.0890248,,1750046605.0853505,1750045508.162646,,
1750109962.1004746,,1750046605.0978165,1750045508.1753693,,
1750109962.1029341,,1750046605.0978165,1750045508.1753693,,
1750109962.1124673,,1750046605.1105206,1750045508.1880934,,
1750109962.1155882,,1750046605.1105206,1750045508.1880934,,
1750109962.1246436,,1750046605.1231554,1750045508.2008376,,
1750109962.1271691,,1750046605.1231554,1750045508.2008376,,
1750109962.136873,,1750046605.135806,1750045508.213547,,
1750109962.1401846,,1750046605.135806,1750045508.213547,,
1750109962.1505864,,1750046605.1485784,1750045508.2263093,,
1750109962.153861,,1750046605.1485784,1750045508.2263093,,
1750109962.1631267,,1750046605.161313,1750045508.2390516,,
1750109962.1663299,,1750046605.161313,1750045508.2390516,,
1750109962.1754434,,1750046605.1740324,1750045508.2517405,,
1750109962.1785553,,1750046605.1740324,1750045508.2517405,,
1750109962.1882591,,1750046605.1867225,1750045508.2644517,,
1750109962.19097,,1750046605.1867225,1750045508.2644517,,
1750109962.2012227,,1750046605.199418,1750045508.2771695,,
1750109962.2045832,,1750046605.199418,1750045508.2771695,,
1750109962.2142968,,1750046605.2121603,1750045508.289905,,
1750109962.2168632,,1750046605.2121603,1750045508.289905,,
1750109962.229271,,1750046605.2271903,1750045508.3042665,,
1750109962.2316241,,1750046605.2271903,1750045508.3042665,,
1750109962.2416441,,1750046605.239816,1750045508.316922,,
1750109962.2442589,,1750046605.239816,1750045508.316922,,
1750109962.253957,,1750046605.2524717,1750045508.3296354,,
1750109962.2577853,,1750046605.2524717,1750045508.3296354,,
1750109962.2663481,,1750046605.2651234,1750045508.3423584,,
1750109962.2696002,,1750046605.2651234,1750045508.3423584,,
1750109962.2790532,,1750046605.2777822,1750045508.3550603,,
1750109962.2813263,,1750046605.2777822,1750045508.3550603,,
1750109962.2943788,,1750046605.293994,1750045508.3703704,,
1750109962.2969143,,1750046605.293994,1750045508.3703704,,
1750109962.3071277,,1750046605.3066216,1750045508.3830419,,
1750109962.3102868,,1750046605.3066216,1750045508.3830419,,
1750109962.3191679,,1750046605.3192213,1750045508.3957608,,
1750109962.3222787,,1750046605.3192213,1750045508.3957608,,
1750109962.332227,,1750046605.3319216,1750045508.4085093,,
1750109962.3353317,,1750046605.3319216,1750045508.4085093,,
1750109962.344976,,1750046605.3446467,1750045508.4211957,,
1750109962.347284,,1750046605.3446467,1750045508.4211957,,
1750109962.3579764,,1750046605.3579955,1750045508.4339578,,
1750109962.361258,,1750046605.3579955,1750045508.4339578,,
1750109962.3703954,,1750046605.370703,1750045508.4466228,,
1750109962.3729384,,1750046605.370703,1750045508.4466228,,
1750109962.383076,,1750046605.3833432,1750045508.4593475,,
1750109962.3865054,,1750046605.3833432,1750045508.4593475,,
1750109962.3969333,,1750046605.3960311,1750045508.472078,,
1750109962.399453,,1750046605.3960311,1750045508.472078,,
1750109962.4090347,,1750046605.40869,1750045508.4847841,,
1750109962.4116173,,1750046605.40869,1750045508.4847841,,
1750109962.4217284,,1750046605.4220767,1750045508.4975116,,
1750109962.4243429,,1750046605.4220767,1750045508.4975116,,
1750109962.4333122,,1750046605.4220767,1750045508.510269,,
1750109962.4376369,,1750046605.4365041,1750045508.510269,,
1750109962.4471133,,1750046605.4365041,1750045508.5230184,,
1750109962.450851,,1750046605.4491136,1750045508.5230184,,
1750109962.4601948,,1750046605.4619567,1750045508.5357308,,
1750109962.4635153,,1750046605.4619567,1750045508.5357308,,
1750109962.4716816,,1750046605.4619567,1750045508.5485852,,
1750109962.4758527,,1750046605.4747875,1750045508.5485852,,
1750109962.4848633,,1750046605.4747875,1750045508.5614345,,
1750109962.4888597,,1750046605.4875958,1750045508.5614345,,
1750109962.4986591,,1750046605.4875958,1750045508.574311,,
1750109962.5024195,,1750046605.5004454,1750045508.574311,,
1750109962.510481,,1750046605.5004454,1750045508.5871909,,
1750109962.514592,,1750046605.5132687,1750045508.5871909,,
1750109962.5246103,,1750046605.5261424,1750045508.600639,,
1750109962.5271132,,1750046605.5261424,1750045508.600639,,
1750109962.5386906,,1750046605.5390205,1750045508.6135714,,
1750109962.5412807,,1750046605.5390205,1750045508.6135714,,
1750109962.55004,,1750046605.5390205,1750045508.626497,,
1750109962.5538068,,1750046605.5518425,1750045508.626497,,
1750109962.5635068,,1750046605.5646334,1750045508.6393273,,
1750109962.5662475,,1750046605.5646334,1750045508.6393273,,
1750109962.5757713,,1750046605.5646334,1750045508.6522033,,
1750109962.579835,,1750046605.5774586,1750045508.6522033,,
1750109962.589764,,1750046605.590588,1750045508.6650696,,
1750109962.59223,,1750046605.590588,1750045508.6650696,,
1750109962.6011074,,1750046605.590588,1750045508.677912,,
1750109962.6046429,,1750046605.6033914,1750045508.677912,,
1750109962.613789,,1750046605.6033914,1750045508.690796,,
1750109962.6175811,,1750046605.616655,1750045508.690796,,
1750109962.6289773,,1750046605.6295843,1750045508.7037818,,
1750109962.6318011,,1750046605.6295843,1750045508.7037818,,
1750109962.642143,,1750046605.6425116,1750045508.7173433,,
1750109962.644711,,1750046605.6425116,1750045508.7173433,,
1750109962.6550207,,1750046605.6553047,1750045508.7311325,,
1750109962.6573877,,1750046605.6553047,1750045508.7311325,,
1750109962.6708176,,1750046605.6682868,1750045508.7460752,,
1750109962.6735444,,1750046605.6682868,1750045508.7460752,,
1750109962.6835358,,1750046605.6812289,1750045508.7590003,,
1750109962.6858673,,1750046605.6812289,1750045508.7590003,,
1750109962.6952276,,1750046605.6940439,1750045508.7733042,,
1750109962.6983855,,1750046605.6940439,1750045508.7733042,,
1750109962.708081,,1750046605.7070036,1750045508.7863219,,
1750109962.7111886,,1750046605.7070036,1750045508.7863219,,
1750109962.7224882,,1750046605.7198584,1750045508.7993417,,
1750109962.7251515,,1750046605.7198584,1750045508.7993417,,
